Team,Scoring Margin,eFG%,SPG+BPG,Rebound Margin,Win Percentage
Gardner-Webb (Big South),1.0331833520809899,0.5235494880546075,10.692307692307692,0.9802847754654983,0.7333333333333333
George Mason (Atlantic 10),1.0201560468140443,0.4884929472902747,11.545454545454545,1.0775193798449612,1.4444444444444444
George Washington (Atlantic 10),0.9422294548413345,0.4978448275862069,9.0,0.9732441471571907,0.4166666666666667
Georgetown (Big East),0.9967793880837359,0.49441157133464825,9.76923076923077,1.1425414364640885,1.0
Georgia St. (Sun Belt),0.9935865811544153,0.509357454772302,10.923076923076923,1.0254506892895017,1.1666666666666667
Georgia Tech (ACC),1.1050656660412759,0.5324675324675324,11.545454545454545,1.0147420147420148,2.6666666666666665
Georgia (SEC),1.0697419000549149,0.5406477197620622,12.538461538461538,0.8842696629213483,1.8888888888888888
Gonzaga (WCC),1.3053811659192824,0.610178117048346,10.75,1.2245108135942326,31.0
Grambling (SWAC),0.9805942995755003,0.47562833206397565,11.125,0.9408418657565415,1.0
Grand Canyon (WAC),1.215291750503018,0.5473265895953757,7.833333333333333,1.3141289437585735,2.4285714285714284
Green Bay (Horizon),0.9357030841610037,0.49170537491705374,9.12,0.91,0.47058823529411764
Hampton (Big South),0.9399235390496996,0.49512874043145444,12.04,0.8508064516129032,0.7857142857142857
Hartford (America East),1.0234680573663624,0.4992337164750958,9.166666666666666,0.9489311163895487,1.6666666666666667
Hawaii (Big West),1.0351239669421488,0.5099337748344371,7.190476190476191,1.1157270029673592,1.1
High Point (Big South),0.9540846750149076,0.45799557848194544,10.333333333333334,1.0402930402930404,0.6
Hofstra (CAA),1.0011911852293032,0.5081967213114754,9.565217391304348,1.0012269938650307,1.3
Holy Cross (Patriot),0.9285127362366475,0.5026260504201681,10.8125,0.8909710391822828,0.45454545454545453
Houston Baptist (Southland),1.3064949006977993,0.5096889342172362,12.625,1.2844400396432112,7.0
Houston (AAC),0.8849028400597907,0.4952893674293405,10.72,0.8962264150943396,0.3157894736842105
Howard (MEAC),0.8561320754716981,0.5017667844522968,10.2,0.8939393939393939,0.25
Idaho St. (Big Sky),0.7984542211652794,0.4854368932038835,6.909090909090909,0.8725099601593626,0.047619047619047616
Idaho (Big Sky),1.1053342336259284,0.5091197462331483,7.958333333333333,1.209205020920502,1.1818181818181819
Illinois St. (MVC),1.1734022556390977,0.5555250137438152,8.483870967741936,1.3152866242038217,3.4285714285714284
Illinois (Big Ten),0.9620320855614973,0.525727826675694,9.36,0.9799777530589544,0.3888888888888889
Indiana St. (MVC),1.004805125467165,0.48543046357615893,9.481481481481481,0.9588900308324769,0.8
Indiana (Big Ten),1.0103343465045593,0.4891629297458894,9.48,0.9521531100478469,1.5
Iona (MAAC),1.07905803195963,0.5069306930693069,11.0,1.146551724137931,2.0
Iowa St. (Big 12),1.1507760532150777,0.5474247832738399,10.129032258064516,1.074171029668412,2.4444444444444446
Iowa (Big Ten),0.8549701249321021,0.48018400566171265,9.625,0.8302300109529025,0.09090909090909091
IUPUI (Horizon),0.9391495601173021,0.48971000935453696,9.11111111111111,0.9470404984423676,0.8
Jackson St. (SWAC),1.04420866489832,0.4452191235059761,11.444444444444445,1.0507131537242471,2.0
Jacksonville St. (OVC),0.9724220623501199,0.5015151515151515,9.458333333333334,0.9237875288683602,0.8461538461538461
Jacksonville (ASUN),1.083198271204754,0.5309311224489796,8.481481481481481,1.1453551912568305,2.0
James Madison (CAA),1.1085876508161816,0.5212323064113239,9.5,1.008097165991903,1.8571428571428572
Kansas City (Summit League),1.0911354581673307,0.49889441680486457,10.866666666666667,1.0828516377649327,2.3333333333333335
