Team,GM,3FG,3FGA,3FG%,FGM,FGA,FG%,BLKS,BKPG,ST,STPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,W,L,WL%,REB,RPG,OPP REB,OPP RPG,REB MAR
Kansas St. (Big 12),24,149,407,36.6,642,1292,49.7,50,2.1,190,7.9,1683,70.1,1502,62.6,7.5,11,13,45.8,730,30.4,721,30,0.4
Kansas (Big 12),29,191,645,29.6,649,1577,41.2,44,1.5,161,5.6,1792,61.8,2037,70.2,-8.4,9,20,31,953,32.9,955,32.9,-0.1
Kennesaw St. (ASUN),24,164,526,31.2,571,1359,42,60,2.5,138,5.8,1571,65.5,1672,69.7,-4.2,5,19,20.8,815,34,814,33.9,0
Kent St. (MAC),23,185,567,32.6,635,1432,44.3,76,3.3,156,6.8,1764,76.7,1635,71.1,5.6,15,8,65.2,900,39.1,776,33.7,5.4
Kentucky (SEC),25,160,477,33.5,615,1476,41.7,148,5.9,157,6.3,1761,70.4,1754,70.2,0.3,9,16,36,951,38,905,36.2,1.8
La Salle (Atlantic 10),25,195,573,34,633,1453,43.6,83,3.3,186,7.4,1702,68.1,1838,73.5,-5.4,9,16,36,829,33.2,885,35.4,-2.2
Lafayette (Patriot),15,129,358,36,405,928,43.6,51,3.4,94,6.3,1165,77.7,1150,76.7,1,9,6,60,525,35,584,38.9,-3.9
Lamar University (Southland),28,139,445,31.2,670,1608,41.7,118,4.2,200,7.1,1843,65.8,2026,72.4,-6.5,10,18,35.7,968,34.6,1035,37,-2.4
Lehigh (Patriot),15,73,231,31.6,388,901,43.1,32,2.1,90,6,1025,68.3,1149,76.6,-8.3,4,11,26.7,523,34.9,533,35.5,-0.7
Liberty (ASUN),29,297,761,39,782,1605,48.7,71,2.4,135,4.7,2157,74.4,1739,60,14.4,23,6,79.3,971,33.5,865,29.8,3.7
Lipscomb (ASUN),27,200,569,35.1,687,1493,46,53,2,167,6.2,1922,71.2,1848,68.4,2.7,15,12,55.6,918,34,931,34.5,-0.5
Little Rock (Sun Belt),26,147,472,31.1,638,1401,45.5,86,3.3,165,6.3,1786,68.7,1782,68.5,0.2,11,15,42.3,898,34.5,820,31.5,3
LIU (NEC),18,134,467,28.7,479,1155,41.5,69,3.8,152,8.4,1332,74,1313,72.9,1.1,9,9,50,705,39.2,674,37.4,1.7
LMU (CA) (WCC),22,135,400,33.8,525,1147,45.8,58,2.6,103,4.7,1529,69.5,1496,68,1.5,13,9,59.1,772,35.1,601,27.3,7.8
Long Beach St. (Big West),18,127,354,35.9,466,1047,44.5,52,2.9,112,6.2,1328,73.8,1430,79.4,-5.7,6,12,33.3,630,35,712,39.6,-4.6
