Rank,Team,GM,W-L,PTS,PPG,3FG,3FGA,FGM,FGA,FG%
4,Bryant (NEC),22,15-7,"1,843",83.8,208,546,638,"1,372",46.5
80,Bucknell (Patriot),12,5-7,899,74.9,88,267,311,683,45.5
12,Buffalo (MAC),25,16-9,"2,034",81.4,175,518,766,"1,662",46.1
319,Butler (Big East),25,10-15,"1,588",63.5,179,554,572,"1,393",41.1
36,BYU (WCC),27,20-7,"2,109",78.1,236,633,776,"1,608",48.3
333,Cal Poly (Big West),24,4-20,"1,475",61.5,157,491,519,"1,315",39.5
47,Cal St. Fullerton (Big West),16,6-10,"1,232",77,131,341,430,951,45.2
303,California (Pac-12),29,9-20,"1,897",65.4,204,622,661,"1,536",43
182,Campbell (Big South),27,17-10,"1,917",71,195,520,699,"1,409",49.6
195,Canisius (MAAC),13,7-6,915,70.4,97,327,321,786,40.8
184,Central Ark. (Southland),24,5-19,"1,701",70.9,170,468,606,"1,388",43.7
243,Central Conn. St. (NEC),21,5-16,"1,439",68.5,150,463,522,"1,230",42.4
50,Central Mich. (MAC),23,7-16,"1,766",76.8,152,462,631,"1,417",44.5
298,Charleston So. (Big South),21,3-18,"1,375",65.5,160,506,480,"1,182",40.6
320,Charlotte (C-USA),25,9-16,"1,587",63.5,143,441,545,"1,261",43.2
130,Chattanooga (SoCon),26,18-8,"1,888",72.6,218,607,667,"1,522",43.8
338,Chicago St. (WAC),9,0-9,499,55.4,51,203,180,497,36.2
233,Cincinnati (AAC),23,12-11,"1,585",68.9,163,524,566,"1,339",42.3
307,Clemson (ACC),24,16-8,"1,558",64.9,198,574,562,"1,323",42.5
183,Cleveland St. (Horizon),27,19-8,"1,914",70.9,172,535,701,"1,558",45
28,Coastal Carolina (Sun Belt),26,18-8,"2,067",79.5,221,618,732,"1,604",45.6
190,Col. of Charleston (CAA),19,9-10,"1,341",70.6,158,422,481,"1,066",45.1
2,Colgate (Patriot),16,14-2,"1,363",85.2,148,367,495,"1,005",49.3
102,Colorado St. (Mountain West),28,20-8,"2,072",74,235,666,715,"1,536",46.5
115,Colorado (Pac-12),32,23-9,"2,340",73.1,246,661,828,"1,816",45.6
124,Coppin St. (MEAC),22,9-13,"1,602",72.8,193,636,529,"1,287",41.1
62,Creighton (Big East),31,22-9,"2,355",76,293,811,878,"1,862",47.2
215,CSU Bakersfield (Big West),26,15-11,"1,811",69.7,146,414,684,"1,531",44.7
148,CSUN (Big West),22,9-13,"1,586",72.1,170,503,560,"1,323",42.3
154,Davidson (Atlantic 10),22,13-9,"1,579",71.8,216,594,573,"1,214",47.2
210,Dayton (Atlantic 10),24,14-10,"1,674",69.8,192,516,592,"1,240",47.7
185,Delaware St. (MEAC),19,3-16,"1,345",70.8,152,492,468,"1,183",39.6
261,Delaware (CAA),15,7-8,"1,013",67.5,107,321,347,793,43.8
207,Denver (Summit League),21,2-19,"1,466",69.8,141,403,519,"1,172",44.3
290,DePaul (Big East),19,5-14,"1,250",65.8,103,327,481,"1,154",41.7
57,Detroit Mercy (Horizon),22,12-10,"1,683",76.5,225,575,598,"1,290",46.4
66,Drake (MVC),31,26-5,"2,354",75.9,218,594,908,"1,878",48.3
196,Drexel (CAA),20,12-8,"1,407",70.3,145,391,514,"1,100",46.7
61,Duke (ACC),24,13-11,"1,824",76,201,571,692,"1,479",46.8
271,Duquesne (Atlantic 10),18,9-9,"1,205",66.9,115,385,438,"1,040",42.1
272,East Carolina (AAC),19,8-11,"1,269",66.8,109,359,449,"1,094",41
226,Eastern Ill. (OVC),27,9-18,"1,874",69.4,186,574,707,"1,623",43.6
8,Eastern Ky. (OVC),29,22-7,"2,372",81.8,279,778,871,"1,946",44.8
194,Eastern Mich. (MAC),18,6-12,"1,267",70.4,128,411,448,"1,077",41.6
34,Eastern Wash. (Big Sky),24,16-8,"1,879",78.3,204,574,667,"1,425",46.8
292,Elon (CAA),19,10-9,"1,249",65.7,154,473,449,"1,084",41.4
224,ETSU (SoCon),25,13-12,"1,736",69.4,201,575,620,"1,416",43.8
309,Evansville (MVC),25,9-16,"1,619",64.8,240,637,571,"1,299",44
332,Fairfield (MAAC),27,10-17,"1,668",61.8,163,517,580,"1,456",39.8
76,Fairleigh Dickinson (NEC),24,9-15,"1,801",75,194,517,645,"1,432",45
153,FGCU (ASUN),18,10-8,"1,292",71.8,146,499,483,"1,126",42.9
110,FIU (C-USA),26,9-17,"1,914",73.6,273,816,690,"1,604",43
38,Fla. Atlantic (C-USA),23,13-10,"1,796",78.1,223,587,652,"1,409",46.3
294,Florida A&M (MEAC),20,8-12,"1,314",65.7,95,303,500,"1,126",44.4
46,Florida St. (ACC),25,18-7,"1,929",77.2,192,510,693,"1,461",47.4
99,Florida (SEC),25,15-10,"1,854",74.2,169,475,663,"1,407",47.1
340,Fordham (Atlantic 10),14,2-12,725,51.8,79,294,257,716,35.9
279,Fresno St. (Mountain West),24,12-12,"1,591",66.3,164,499,552,"1,289",42.8
27,Furman (SoCon),25,16-9,"1,990",79.6,242,708,730,"1,499",48.7
161,Ga. Southern (Sun Belt),26,13-13,"1,860",71.5,194,608,686,"1,536",44.7
188,Gardner-Webb (Big South),26,11-15,"1,837",70.7,232,643,651,"1,465",44.4
169,George Mason (Atlantic 10),22,13-9,"1,569",71.3,160,487,578,"1,347",42.9
